country,state,city,code,taxRate
USA,,,,0.0
USA,WI,,,5.0
USA,WI,,53701,0.5
USA,WI,,53702,0.5
USA,WI,,53703,0.5
USA,WI,,53704,0.5
USA,,,97123,0.0
USA,CA,Acampo,,7.750
USA,CA,Acton,,8.250
USA,CA,Adelaida,,7.250
USA,CA,Adelanto,,7.750
USA,CA,Adin,,7.250
USA,CA,Agoura,,8.250
USA,CA,Agoura Hills,,8.250
USA,CA,Agua Caliente,,7.750
USA,CA,Agua Caliente Springs,,7.750
USA,CA,Agua Dulce,,8.250
USA,CA,Aguanga,,7.750
USA,CA,Ahwahnee,,7.750
USA,CA,Al Tahoe,,7.250
USA,CA,Alameda,,8.750
USA,CA,Alamo,,8.250
USA,CA,Albany,,8.750
USA,CA,Alberhill (Lake Elsinore),,7.750
USA,CA,Albion,,7.250
USA,CA,Alderpoint,,7.250
USA,CA,Alhambra,,8.250
USA,CA,Aliso Viejo,,7.750
USA,CA,Alleghany,,7.250
USA,CA,Almaden Valley,,8.250
USA,CA,Almanor,,7.250
USA,CA,Almondale,,8.250
USA,CA,Alondra,,8.250
USA,CA,Alpaugh,,7.750
USA,CA,Alpine,,7.750
USA,CA,Alta,,7.250
USA,CA,Alta Loma (Rancho Cucamonga),,7.750
USA,CA,Altadena,,8.250
USA,CA,Altaville,,7.250
USA,CA,Alton,,7.250
USA,CA,Alturas,,7.250
USA,CA,Alviso (San Jose),,8.250
USA,CA,Amador City,,7.250
USA,CA,Amargosa (Death Valley),,7.750
USA,CA,Amboy,,7.750
USA,CA,American Canyon,,7.750
USA,CA,Anaheim,,7.750
USA,CA,Anderson,,7.250
USA,CA,Angels Camp,,7.250
USA,CA,Angelus Oaks,,7.750
USA,CA,Angwin,,7.750
USA,CA,Annapolis,,7.750
USA,CA,Antelope,,7.750
USA,CA,Antelope Acres,,8.250
USA,CA,Antioch,,8.250
USA,CA,Anza,,7.750
USA,CA,Apple Valley,,7.750
USA,CA,Applegate,,7.250
USA,CA,Aptos,,8.000
USA,CA,Arbuckle,,7.250
USA,CA,Arcadia,,8.250
USA,CA,Arcata,,7.250
USA,CA,Argus,,7.750
USA,CA,Arleta (Los Angeles),,8.250
USA,CA,Arlington (Riverside),,7.750
USA,CA,Armona,,7.250
USA,CA,Army Terminal,,8.750
USA,CA,Arnold,,7.250
USA,CA,Aromas,,7.250
USA,CA,Arrowbear Lake,,7.750
USA,CA,Arrowhead Highlands,,7.750
USA,CA,Arroyo Grande,,7.750
USA,CA,Artesia,,8.250
USA,CA,Artois,,7.250
USA,CA,Arvin,,7.250
USA,CA,Ashland,,8.750
USA,CA,Asti,,7.750
USA,CA,Atascadero,,7.250
USA,CA,Athens,,8.250
USA,CA,Atherton,,8.250
USA,CA,Atwater,,7.250
USA,CA,Atwood,,7.750
USA,CA,Auberry,,7.975
USA,CA,Auburn,,7.250
USA,CA,Avalon,,8.750
USA,CA,Avenal,,7.250
USA,CA,Avery,,7.250
USA,CA,Avila Beach,,7.250
USA,CA,Azusa,,8.250
USA,CA,Badger,,7.750
USA,CA,Bailey,,8.250
USA,CA,Baker,,7.750
USA,CA,Bakersfield,,7.250
USA,CA,Balboa (Newport Beach),,7.750
USA,CA,Balboa Island (Newport Beach),,7.750
USA,CA,Balboa Park (San Diego),,7.750
USA,CA,Baldwin Park,,8.250
USA,CA,Ballard,,7.750
USA,CA,Ballico,,7.250
USA,CA,Ballroad,,7.750
USA,CA,Bangor,,7.250
USA,CA,Banning,,7.750
USA,CA,Banta,,7.750
USA,CA,Bard,,7.750
USA,CA,Barrington,,8.250
USA,CA,Barstow,,7.750
USA,CA,Bartlett,,7.750
USA,CA,Barton,,7.975
USA,CA,Base Line,,7.750
USA,CA,Bass Lake,,7.750
USA,CA,Bassett,,8.250
USA,CA,Baxter,,7.250
USA,CA,Bayside,,7.250
USA,CA,Baywood Park,,7.250
USA,CA,Beale A.F.B.,,7.250
USA,CA,Bear River Lake,,7.250
USA,CA,Bear Valley,,7.250
USA,CA,Bear Valley,,7.750
USA,CA,Beaumont,,7.750
USA,CA,Beckwourth,,7.250
USA,CA,Bel Air Estates,,8.250
USA,CA,Belden,,7.250
USA,CA,Bell Gardens,,8.250
USA,CA,Bell,,8.250
USA,CA,Bella Vista,,7.250
USA,CA,Bellflower,,8.250
USA,CA,Belmont,,8.250
USA,CA,Belvedere,,7.750
USA,CA,Ben Lomond,,8.000
USA,CA,Benicia,,7.375
USA,CA,Benton,,7.250
USA,CA,Berkeley,,8.750
USA,CA,Bermuda Dunes,,7.750
USA,CA,Berry Creek,,7.250
USA,CA,Bethel Island,,8.250
USA,CA,Betteravia,,7.750
USA,CA,Beverly Hills,,8.250
USA,CA,Bieber,,7.250
USA,CA,Big Bar,,7.250
USA,CA,Big Basin,,8.000
USA,CA,Big Bear City,,7.750
USA,CA,Big Bear Lake,,7.750
USA,CA,Big Bend,,7.250
USA,CA,Big Creek,,7.975
USA,CA,Big Oak Flat,,7.250
USA,CA,Big Pine,,7.750
USA,CA,Big River,,7.750
USA,CA,Big Sur,,7.250
USA,CA,Biggs,,7.250
USA,CA,Bijou,,7.250
USA,CA,Biola,,7.975
USA,CA,Biola College (La Mirada),,8.250
USA,CA,Birds Landing,,7.375
USA,CA,Bishop,,7.750
USA,CA,Black Hawk,,8.250
USA,CA,Blairsden,,7.250
USA,CA,Blocksburg,,7.250
USA,CA,Bloomington,,7.750
USA,CA,Blossom Hill,,8.250
USA,CA,Blossom Valley,,8.250
USA,CA,Blue Jay,,7.750
USA,CA,Blue Lake,,7.250
USA,CA,Blythe,,7.750
USA,CA,Bodega,,7.750
USA,CA,Bodega Bay,,7.750
USA,CA,Bodfish,,7.250
USA,CA,Bolinas,,7.750
USA,CA,Bolsa,,7.750
USA,CA,Bombay Beach,,7.750
USA,CA,Bonita,,7.750
USA,CA,Bonny Doon,,8.000
USA,CA,Bonsall,,7.750
USA,CA,Boonville,,7.250
USA,CA,Boron,,7.250
USA,CA,Borrego Springs,,7.750
USA,CA,Bostonia,,7.750
USA,CA,Boulder Creek,,8.000
USA,CA,Boulevard,,7.750
USA,CA,Bouquet Canyon (Santa Clarita),,8.250
USA,CA,Bowman,,7.250
USA,CA,Boyes Hot Springs,,7.750
USA,CA,Bradbury,,8.250
USA,CA,Bradford,,8.750
USA,CA,Bradley,,7.250
USA,CA,Branscomb,,7.250
USA,CA,Brawley,,7.750
USA,CA,Brea,,7.750
USA,CA,Brents Junction,,8.250
USA,CA,Brentwood (Los Angeles),,8.250
USA,CA,Brentwood,,8.250
USA,CA,Briceland,,7.250
USA,CA,Bridgeport,,7.750
USA,CA,Bridgeport,,7.250
USA,CA,Bridgeville,,7.250
USA,CA,Brisbane,,8.250
USA,CA,Broderick (West Sacramento),,7.750
USA,CA,Brookdale,,8.000
USA,CA,Brookhurst Center,,7.750
USA,CA,Brooks,,7.250
